text,intent
我想查一下订单,query_order
帮我看看订单到哪里了,query_order
订单现在是什么状态,query_order
我的快递发货了吗,query_order
查一下我的购买记录,query_order
能不能帮我查订单号,query_order
我下的单什么时候送到,query_order
看看物流信息,query_order
我的包裹现在在哪里,query_order
帮我查询订单进度,query_order
订单一直没更新怎么办,query_order
我要看一下物流轨迹,query_order
这笔订单处理了吗,query_order
我的商品有没有出库,query_order
查询一下刚才买的东西,query_order
帮我确认订单是否成功,query_order
我想知道快递单号,query_order
订单配送到哪一步了,query_order
帮我取消订单,cancel_order
这单不要了帮我取消,cancel_order
我想撤销刚才的购买,cancel_order
订单还没发货可以取消吗,cancel_order
取消一下这个订单,cancel_order
我买错了想取消,cancel_order
这件商品不用发了,cancel_order
帮我关掉这笔订单,cancel_order
我不想要这个订单了,cancel_order
还没有付款可以取消吗,cancel_order
把订单撤回吧,cancel_order
怎么取消未发货订单,cancel_order
我想删除这次下单,cancel_order
帮我终止订单,cancel_order
这个订单能退掉不发吗,cancel_order
刚拍错了请取消,cancel_order
订单取消入口在哪里,cancel_order
我要取消购买,cancel_order
我想退货,refund
怎么申请退款,refund
商品有问题我要售后,refund
收到的东西坏了能退吗,refund
我要退钱,refund
帮我处理退款申请,refund
这个商品不满意想退,refund
售后入口在哪里,refund
能不能换货,refund
我申请退货退款,refund
退款多久到账,refund
东西少发了要赔付,refund
质量不好我要退,refund
我要申请售后服务,refund
退货地址在哪里看,refund
这笔订单退款失败了,refund
我想修改退款原因,refund
帮我催一下退款,refund
这款手机有货吗,product_consult
商品是什么材质,product_consult
这个衣服尺码怎么选,product_consult
有没有黑色版本,product_consult
这件商品支持保修吗,product_consult
给我介绍一下这个产品,product_consult
这个套餐包含什么,product_consult
商品参数在哪里看,product_consult
这款适合学生用吗,product_consult
有没有优惠活动,product_consult
这个产品和另一款有什么区别,product_consult
能不能开发票,product_consult
这件商品什么时候补货,product_consult
电池容量是多少,product_consult
支持七天无理由吗,product_consult
这款鞋偏大还是偏小,product_consult
商品保质期多久,product_consult
可以给我推荐型号吗,product_consult
我要联系人工客服,human_service
转人工,human_service
帮我接入真人客服,human_service
我想和客服人员沟通,human_service
机器人解决不了找人工,human_service
人工客服在吗,human_service
给我转到人工服务,human_service
我要找工作人员,human_service
可以让真人回复我吗,human_service
请安排客服专员,human_service
我需要人工处理,human_service
别自动回复了转人工,human_service
帮我接通在线客服,human_service
我要投诉找人工,human_service
客服经理能联系我吗,human_service
麻烦人工跟进一下,human_service
我想直接打客服电话,human_service
有人在线吗,human_service
你好,greeting
您好,greeting
在吗,greeting
早上好,greeting
下午好,greeting
晚上好,greeting
哈喽,greeting
hello,greeting
嗨,greeting
客服你好,greeting
有人吗,greeting
辛苦了,greeting
请问在不在,greeting
麻烦问一下,greeting
您好我咨询一下,greeting
你好呀,greeting
打扰了,greeting
请问有人服务吗,greeting
